TMC,DISTANCE,AADT,NO_LANES,MEDWID,SPD_LIMT,SURF_WID,ACCESS,RTE_NBR,Facility_Type,Total,Fatal,Injury,PDO,Total_NonInt,Fatal_NonInt,Injury_NonInt,PDO_NonInt,SHD_WID,myState,OptSpd,SpdVarr1,SpdVarr1_wkd,SpdVarr1_wke,OptSpd_wkd,OptSpd_wke,SpdVarr2,SpdVarr3,SpdVarr4,SpdAvg,SpdCrash,SpdBefCr1,SpdBefCr2,SpdBefCr3,SpdBefCr4,SpdBefCrSD1,SpdBefCrSD2,SpdBefCrSD3,SpdBefCrSD4,SpdBefCrSim1,SpdBefCrSim2,SpdBefCrSim3,SpdBefCrSim4,SpdFF,L_of_Cuv,N_of_Cuv,MinRadius
122N05100,2.95233,11420,4,60,NA,48,F,0068R,3_RMD,1,0,0,1,1,0,0,1,NA,OH,68.42309871,1.3027806,1.302810234,1.302967275,67.95644501,69.92360526,0.549094227,0.245441164,1.044277495,64.29741772,64.41447273,NA,NA,NA,NA,NA,NA,NA,5.100275005,61.1314274,62.81241065,64.7678474,65.22989984,68.05217132,0,0,-1
122N04998,5.19857,35020,4,62,NA,48,F,0075R,0_RI,17,0,2,15,17,0,2,15,NA,OH,65.95542555,0.538191862,0.538204104,0.538268979,65.80082742,66.44326154,0.638255778,0.407527784,0.257906276,63.62177008,65.50273705,64.9188321,64.9188321,64.9188321,64.9188321,0.946170594,1.332996576,1.936029485,2.186164127,65.77873193,65.83266708,65.82686629,65.83940897,65.87159484,0.14,1,1432.4
122N05015,2.39812,46290,4,58.31403495,NA,48,F,0075R,0_RI,18,0,2,16,18,0,2,16,NA,OH,61.8426361,0.321020125,0.321027427,0.321066124,61.48295786,62.60602707,0.850250382,0.372407058,0.230457562,59.01584532,58.99702961,60.76175015,60.76175015,60.76175015,60.76175015,8.132273883,6.749676809,6.595488362,5.849311903,61.55968108,61.41006758,61.4464911,61.37038541,61.73977672,0,0,-1
122N05016,0.03081,46290,4,64,NA,48,F,0075R,0_RI,0,0,0,0,0,0,0,0,NA,OH,55.458,0,0,0,55.458,55.458,0,0,0,53.66875813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.458,0,0,-1
122N05027,1.59409,14900,4,60,NA,48,L,0033R,3_RMD,3,0,2,1,1,0,1,0,NA,OH,63.7636,0.394986952,0.394995936,0.395043549,63.52830996,64.48004494,0.630071035,0.234902298,0,60.35660971,60.8045915,61.62626446,61.62626446,61.62626446,61.62626446,2.189801919,3.42850116,4.454988091,4.405270868,64.27012226,64.11518365,64.5373799,64.49456748,63.7636,0,0,-1
122N05021,3.18616,19951,4,48,NA,48,F,0033R,3_RMD,8,0,2,6,8,0,2,6,NA,OH,68.17340862,0.633653099,0.633667513,0.633743895,67.87086391,69.30470444,0.811369628,0.202119743,0.211876678,65.20295751,65.30786408,69.64475105,69.64475105,69.64475105,69.64475105,2.874874938,2.625476332,2.640116372,2.558690611,68.10447316,67.84222641,68.10763647,68.12869905,67.96022646,0.28,8,229.184
122N04988,7.66369,43909.68102,4,67.38169684,NA,48,F,0075R,0_RI,16,0,1,15,16,0,1,15,NA,OH,66.41352217,0.692847638,0.692863399,0.692946917,66.18780648,66.9372034,1.069134782,0.347008148,0.124381203,63.55542774,64.96698426,66.43899306,66.43899306,66.43899306,66.43899306,5.465046384,4.923261556,4.323545982,3.890384276,66.04652398,66.13823898,66.51226682,66.61397348,66.24077791,0.61,2,1145.92
122N04994,1.96649,34341.77907,4,68,NA,48,F,0075R,0_RI,5,0,2,3,5,0,2,3,NA,OH,66.55812308,0.440213515,0.440223528,0.440276593,66.42092885,67.05001421,0.565634694,0.364238668,0.29490826,64.88693638,64.10392732,65.45121037,65.45121037,65.45121037,65.45121037,6.35426187,6.705602848,7.571103518,7.395993646,66.40745394,66.39397904,66.1728906,66.11722626,66.44454266,0.49,2,1432.4
122N04993,3.11148,34529.86567,4,67.19462661,NA,48,F,0075R,0_RI,19,0,7,12,19,0,7,12,NA,OH,66.74078252,0.555990659,0.556003306,0.556070327,66.57550074,67.29825992,0.620244941,0.367987255,0.458569016,64.93447249,64.49290564,64.80536596,64.80536596,64.80536596,64.80536596,1.458011129,1.786711612,2.339043954,2.574897828,65.82341463,66.01884579,66.41939045,66.50375396,66.64151512,1.2,5,636.6222222
122N04992,4.96541,34350,4,60,NA,48,F,0075R,0_RI,15,0,3,12,15,0,3,12,NA,OH,66.38988301,0.606750603,0.606764405,0.606837544,66.20546667,67.033035,0.521747865,0.42342272,0.32661083,64.48348804,65.39409767,66.78280808,66.78280808,66.78280808,66.78280808,2.658060116,3.367506048,3.477847026,3.394810581,66.58362036,66.49381205,66.51339907,66.44952632,66.28730284,0.44,2,636.6222222
